0,1,2,3,4,5,6,7,8,9,10
canned beer,curd,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
whipped/sour cream,bottled water,specialty vegetables,,,,,,,,
herbs,rolls/buns,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
dessert,beverages,,,,,,,,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
soda,liquor (appetizer),,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
frankfurter,pork,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
frozen chicken,herbs,yogurt,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
soda,butter,other vegetables,margarine,,,,,,,
bottled water,whole milk,,,,,,,,,
root vegetables,detergent,,,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,mustard,newspapers,vinegar,,,,,,,
soda,long life bakery product,,,,,,,,,
chocolate,cat food,,,,,,,,,
root vegetables,cream,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
hard cheese,oil,,,,,,,,,
pork,sausage,whole milk,frozen vegetables,,,,,,,
chicken,pip fruit,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
domestic eggs,hamburger meat,shopping bags,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
meat,other vegetables,,,,,,,,,
sausage,fruit/vegetable juice,coffee,,,,,,,,
yogurt,beverages,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
pork,cereals,,,,,,,,,
canned beer,napkins,,,,,,,,,
curd,yogurt,,,,,,,,,
meat,canned beer,soda,,,,,,,,
sausage,pip fruit,,,,,,,,,
napkins,cleaner,,,,,,,,,
condensed milk,waffles,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
curd,photo/film,,,,,,,,,
yogurt,yogurt,,,,,,,,,
soda,berries,,,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
chicken,coffee,,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
curd cheese,popcorn,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
meat,liquor,,,,,,,,,
bottled beer,rolls/buns,soda,,,,,,,,
newspapers,butter,long life bakery product,,,,,,,,
rolls/buns,soda,,,,,,,,,
bottled water,salty snack,,,,,,,,,
root vegetables,pet care,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
beverages,hamburger meat,other vegetables,canned beer,,,,,,,
citrus fruit,chocolate,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
canned beer,bottled water,long life bakery product,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
frankfurter,canned beer,,,,,,,,,
beverages,newspapers,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chocolate,bottled water,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
sausage,grapes,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
pork,canned fish,zwieback,frozen vegetables,,,,,,,
misc. beverages,root vegetables,frozen vegetables,rolls/buns,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
pet care,beef,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
frankfurter,butter,bottled beer,,,,,,,,
butter,other vegetables,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
chicken,nut snack,whole milk,newspapers,soft cheese,yogurt,spices,condensed milk,,,
brown bread,white wine,,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
salty snack,napkins,sugar,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
pork,flour,,,,,,,,,
pork,bottled water,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pastry,pip fruit,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
soda,soda,cereals,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
tropical fruit,domestic eggs,vinegar,whipped/sour cream,,,,,,,
condensed milk,yogurt,,,,,,,,,
other vegetables,herbs,,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
herbs,chocolate,,,,,,,,,
soda,root vegetables,,,,,,,,,
onions,cat food,,,,,,,,,
pork,beverages,brown bread,Instant food products,margarine,,,,,,
pip fruit,soda,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
onions,frozen dessert,,,,,,,,,
frankfurter,soda,,,,,,,,,
beef,soda,,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,specialty bar,,,,,,,,,
salty snack,liquor,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
tropical fruit,soda,,,,,,,,,
coffee,tidbits,,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
pork,specialty bar,soda,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
pork,grapes,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
pet care,whole milk,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
yogurt,onions,,,,,,,,,
oil,flour,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pip fruit,candy,,,,,,,,,
root vegetables,canned fish,,,,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
chicken,whole milk,,,,,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
finished products,other vegetables,,,,,,,,,
UHT-milk,soda,,,,,,,,,
soda,rolls/buns,shopping bags,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
canned beer,yogurt,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
meat,whole milk,ready soups,,,,,,,,
processed cheese,dishes,,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
margarine,other vegetables,,,,,,,,,
tropical fruit,pasta,napkins,,,,,,,,
beef,pastry,yogurt,chewing gum,,,,,,,
pastry,rolls/buns,,,,,,,,,
root vegetables,sugar,,,,,,,,,
sausage,grapes,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chewing gum,cream cheese ,waffles,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
sausage,soda,newspapers,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
white wine,dessert,,,,,,,,,
UHT-milk,soda,salty snack,,,,,,,,
shopping bags,whole milk,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
root vegetables,margarine,,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
chicken,whole milk,soda,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
pork,soda,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
napkins,margarine,,,,,,,,,
other vegetables,soda,fruit/vegetable juice,,,,,,,,
beverages,soda,,,,,,,,,
canned beer,ice cream,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
yogurt,chicken,UHT-milk,bottled water,,,,,,,
yogurt,potato products,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
other vegetables,canned fish,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
baking powder,beef,,,,,,,,,
onions,cream cheese ,dishes,,,,,,,,
sausage,root vegetables,kitchen towels,,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
house keeping products,frozen vegetables,,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
canned beer,domestic eggs,,,,,,,,,
butter,mayonnaise,,,,,,,,,
yogurt,mustard,,,,,,,,,
pork,bottled water,pastry,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
berries,sauces,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
hard cheese,Instant food products,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
soda,cream cheese ,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
waffles,sugar,,,,,,,,,
soda,soda,,,,,,,,,
tropical fruit,flower (seeds),,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
curd,yogurt,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
rolls/buns,chewing gum,other vegetables,,,,,,,,
brown bread,ice cream,fruit/vegetable juice,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
rolls/buns,bottled beer,,,,,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
berries,fruit/vegetable juice,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
sausage,pasta,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
hamburger meat,baking powder,dessert,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
soda,shopping bags,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
whole milk,brown bread,,,,,,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
shopping bags,chocolate,,,,,,,,,
finished products,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
liver loaf,other vegetables,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
root vegetables,zwieback,,,,,,,,,
flour,pastry,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
other vegetables,other vegetables,,,,,,,,,
whole milk,meat,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
specialty chocolate,whipped/sour cream,,,,,,,,,
pasta,mustard,syrup,,,,,,,,
tropical fruit,rolls/buns,zwieback,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
whole milk,onions,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pork,berries,,,,,,,,,
berries,pip fruit,,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
other vegetables,roll products ,,,,,,,,,
yogurt,yogurt,,,,,,,,,
rolls/buns,yogurt,sugar,,,,,,,,
whole milk,whole milk,,,,,,,,,
pot plants,shopping bags,,,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
whipped/sour cream,bottled beer,fruit/vegetable juice,margarine,,,,,,,
frozen meals,sausage,pastry,yogurt,,,,,,,
chocolate,coffee,,,,,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
turkey,chocolate,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
finished products,spread cheese,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
coffee,white bread,,,,,,,,,
tropical fruit,flour,,,,,,,,,
waffles,white bread,,,,,,,,,
pet care,mustard,,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
tropical fruit,salty snack,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
whole milk,white wine,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
root vegetables,oil,,,,,,,,,
tropical fruit,specialty bar,whole milk,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
citrus fruit,curd,,,,,,,,,
pastry,pork,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
root vegetables,onions,,,,,,,,,
UHT-milk,yogurt,pastry,UHT-milk,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
soda,rolls/buns,,,,,,,,,
canned beer,brown bread,,,,,,,,,
berries,pip fruit,,,,,,,,,
UHT-milk,yogurt,napkins,,,,,,,,
hygiene articles,potato products,,,,,,,,,
canned beer,pasta,,,,,,,,,
cake bar,bottled beer,,,,,,,,,
whole milk,chocolate,,,,,,,,,
curd,other vegetables,,,,,,,,,
ham,brown bread,butter,bottled water,,,,,,,
sausage,brown bread,,,,,,,,,
sausage,grapes,,,,,,,,,
meat,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
whole milk,white bread,,,,,,,,,
cat food,candy,,,,,,,,,
soda,flour,brown bread,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
frozen meals,onions,frozen vegetables,,,,,,,,
whole milk,pasta,,,,,,,,,
yogurt,tidbits,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
soda,rolls/buns,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
other vegetables,oil,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
whole milk,newspapers,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,chocolate,roll products ,,,,,,,,
frozen meals,chocolate,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
pork,brown bread,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
sausage,root vegetables,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
beverages,beverages,,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
yogurt,whole milk,,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
candy,frozen meals,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
chicken,brown bread,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
canned beer,bottled beer,yogurt,fruit/vegetable juice,,,,,,,
yogurt,pet care,,,,,,,,,
sausage,pip fruit,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
tropical fruit,margarine,,,,,,,,,
butter milk,whole milk,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
pork,hygiene articles,,,,,,,,,
whole milk,pork,UHT-milk,sliced cheese,beverages,,,,,,
citrus fruit,coffee,,,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
butter,fruit/vegetable juice,soda,,,,,,,,
bottled beer,citrus fruit,frozen potato products,fruit/vegetable juice,sugar,sauces,,,,,
ham,whole milk,,,,,,,,,
white wine,condensed milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
salty snack,chocolate,,,,,,,,,
sugar,soda,,,,,,,,,
root vegetables,rolls/buns,shopping bags,,,,,,,,
shopping bags,curd,,,,,,,,,
softener,chocolate,,,,,,,,,
whole milk,brown bread,,,,,,,,,
tropical fruit,frozen potato products,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
chicken,bottled water,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,beef,,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
pip fruit,tropical fruit,rolls/buns,pip fruit,rolls/buns,,,,,,
curd,specialty chocolate,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
soda,yogurt,,,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
other vegetables,domestic eggs,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
chicken,tropical fruit,,,,,,,,,
chocolate,soda,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
herbs,soft cheese,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
coffee,shopping bags,,,,,,,,,
root vegetables,curd,,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
yogurt,rolls/buns,,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
coffee,soft cheese,,,,,,,,,
roll products ,oil,UHT-milk,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
white bread,hamburger meat,pastry,frozen meals,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
waffles,bottled water,,,,,,,,,
condensed milk,pastry,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd,,,,
beef,frozen meals,,,,,,,,,
other vegetables,candy,napkins,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
sausage,dish cleaner,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
cooking chocolate,chewing gum,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
citrus fruit,butter milk,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
dish cleaner,coffee,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
soda,spices,shopping bags,,,,,,,,
bottled water,whole milk,,,,,,,,,
pip fruit,skin care,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
citrus fruit,soda,,,,,,,,,
butter,chewing gum,,,,,,,,,
domestic eggs,soda,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
meat,pip fruit,,,,,,,,,
finished products,pip fruit,curd,pork,curd,whipped/sour cream,whole milk,,,,
rolls/buns,other vegetables,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
dessert,tropical fruit,pip fruit,hard cheese,specialty fat,,,,,,
chicken,pork,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns,,,,,
hamburger meat,condensed milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
flour,ready soups,,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
yogurt,frozen meals,,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
sausage,curd,,,,,,,,,
tropical fruit,soda,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
soda,oil,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
grapes,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
butter,onions,butter milk,,,,,,,,
tropical fruit,butter,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
candy,rolls/buns,UHT-milk,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
frankfurter,cat food,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
ham,tropical fruit,,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
bottled beer,canned fish,,,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
yogurt,canned fish,pasta,,,,,,,,
dessert,whole milk,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
soda,soda,,,,,,,,,
bags,other vegetables,,,,,,,,,
pork,white bread,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
butter,specialty chocolate,,,,,,,,,
salt,whole milk,pickled vegetables,,,,,,,,
beef,bottled water,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
root vegetables,onions,,,,,,,,,
pork,cream cheese ,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
soda,whole milk,,,,,,,,,
pastry,photo/film,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
bottled water,butter milk,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
pip fruit,pastry,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
bottled water,canned beer,,,,,,,,,
other vegetables,white bread,,,,,,,,,
detergent,tropical fruit,shopping bags,soft cheese,,,,,,,
oil,onions,,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
pastry,waffles,,,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
bottled water,curd,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,photo/film,,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
ham,meat,,,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
bottled water,chocolate,,,,,,,,,
syrup,waffles,,,,,,,,,
frozen potato products,soda,,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
sausage,whipped/sour cream,specialty bar,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
whole milk,yogurt,frozen vegetables,,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
rolls/buns,pork,canned beer,root vegetables,canned beer,shopping bags,oil,soda,,,
dessert,frozen vegetables,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
brown bread,soda,,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
berries,soda,flower (seeds),,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
napkins,dessert,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
ice cream,napkins,,,,,,,,,
other vegetables,pastry,,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
root vegetables,frozen meals,salty snack,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
rolls/buns,yogurt,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
yogurt,sparkling wine,,,,,,,,,
pork,cat food,,,,,,,,,
bottled water,photo/film,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
beef,shopping bags,,,,,,,,,
fish,canned beer,chocolate,,,,,,,,
ham,canned beer,,,,,,,,,
soft cheese,frozen vegetables,cream cheese ,,,,,,,,
ice cream,hygiene articles,,,,,,,,,
liquor,newspapers,,,,,,,,,
soda,shopping bags,,,,,,,,,
other vegetables,dessert,,,,,,,,,
coffee,bottled water,,,,,,,,,
butter,domestic eggs,,,,,,,,,
grapes,ketchup,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,coffee,,,,,,,,,
cream cheese ,candy,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
oil,processed cheese,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,whole milk,herbs,,,,,,,,
whole milk,sparkling wine,,,,,,,,,
pork,liquor,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
packaged fruit/vegetables,white wine,,,,,,,,,
pork,canned beer,,,,,,,,,
liver loaf,pip fruit,fruit/vegetable juice,curd,,,,,,,
